qid,uid,label
2385:1,13114:1,
3735:1,34384:1,
1881:1,12587:1,
2726:1,8448:1,
3464:1,31259:1,
5415:1,21049:1,
562:1,8786:1,
1868:1,9148:1,
103:1,17965:1,
3565:1,7918:1,
2253:1,32426:1,
1353:1,21572:1,
4670:1,11935:1,
4685:1,16315:1,
6691:1,21397:1,
1351:1,9976:1,
4967:1,12048:1,
5336:1,7790:1,
48:1,13982:1,
5830:1,24874:1,
525:1,12162:1,
17:1,8405:1,
2885:1,26229:1,
2284:1,17195:1,
3635:1,17882:1,
386:1,16012:1,
120:1,24280:1,
1297:1,23237:1,
1790:1,13188:1,
2199:1,11636:1,
5308:1,13505:1,
3315:1,8971:1,
309:1,34912:1,
1862:1,19291:1,
3678:1,16727:1,
174:1,10650:1,
254:1,8388:1,
1391:1,12491:1,
2439:1,9832:1,
1468:1,17142:1,
3188:1,15224:1,
69:1,20463:1,
3217:1,20873:1,
330:1,24365:1,
925:1,20084:1,
4974:1,23637:1,
3696:1,11944:1,
5445:1,26941:1,
4782:1,22440:1,
498:1,17911:1,
209:1,24194:1,
3182:1,8062:1,
2435:1,7887:1,
108:1,16330:1,
470:1,8522:1,
2513:1,11344:1,
3342:1,30708:1,
6803:1,26487:1,
322:1,21714:1,
130:1,18054:1,
525:1,11708:1,
5416:1,26564:1,
160:1,22982:1,
152:1,13270:1,
911:1,21290:1,
3204:1,14795:1,
435:1,29325:1,
5066:1,34913:1,
2318:1,16441:1,
4327:1,29844:1,
5007:1,33335:1,
376:1,10403:1,
1857:1,16040:1,
53:1,11923:1,
353:1,11783:1,
1651:1,21556:1,
1005:1,13907:1,
2511:1,9648:1,
1291:1,21700:1,
157:1,22867:1,
708:1,14881:1,
174:1,14553:1,
292:1,15042:1,
1026:1,28203:1,
1899:1,12935:1,
3218:1,18576:1,
92:1,14844:1,
36:1,11766:1,
62:1,13717:1,
1383:1,13994:1,
2912:1,15348:1,
305:1,9717:1,
4690:1,14816:1,
2458:1,25631:1,
866:1,28942:1,
5046:1,13286:1,
6901:1,16740:1,
2550:1,13913:1,
495:1,11316:1,
82:1,31245:1,
590:1,29664:1,
998:1,10293:1,
5746:1,17484:1,
5427:1,34914:1,
1569:1,11249:1,
1024:1,17046:1,
365:1,19124:1,
1064:1,13252:1,
2469:1,30981:1,
293:1,9842:1,
564:1,34915:1,
130:1,17587:1,
787:1,13351:1,
8:1,14741:1,
3389:1,11293:1,
389:1,24711:1,
632:1,21272:1,
251:1,8346:1,
2159:1,24243:1,
4257:1,19019:1,
626:1,23700:1,
355:1,13794:1,
2093:1,16576:1,
1050:1,17128:1,
2687:1,11323:1,
2899:1,14475:1,
4229:1,14420:1,
1990:1,15352:1,
2815:1,11268:1,
2907:1,8161:1,
3121:1,34916:1,
568:1,11857:1,
493:1,12908:1,
2400:1,20793:1,
2400:1,21845:1,
2354:1,10792:1,
138:1,16411:1,
1519:1,28718:1,
5043:1,10099:1,
856:1,16628:1,
2251:1,10293:1,
410:1,8712:1,
2185:1,12987:1,
364:1,10797:1,
1993:1,26211:1,
1146:1,9382:1,
103:1,13616:1,
1910:1,11718:1,
597:1,8906:1,
1822:1,16065:1,
4014:1,20803:1,
190:1,13239:1,
3151:1,9405:1,
726:1,15164:1,
346:1,10545:1,
6870:1,27389:1,
3001:1,24495:1,
504:1,14950:1,
706:1,10925:1,
2009:1,12135:1,
504:1,10666:1,
3678:1,23674:1,
1031:1,8674:1,
417:1,16511:1,
82:1,19246:1,
2075:1,10779:1,
186:1,23812:1,
3394:1,12040:1,
190:1,9887:1,
2559:1,20943:1,
453:1,9979:1,
2593:1,16411:1,
1686:1,9562:1,
1921:1,26504:1,
1264:1,8694:1,
2605:1,17757:1,
1698:1,27362:1,
2043:1,11807:1,
2228:1,12986:1,
866:1,8240:1,
1788:1,8882:1,
5851:1,12573:1,
458:1,11286:1,
87:1,17587:1,
3433:1,12740:1,
1842:1,10735:1,
191:1,9036:1,
2400:1,26421:1,
535:1,8849:1,
6439:1,10968:1,
4595:1,34917:1,
498:1,11484:1,
1011:1,9937:1,
7479:1,10268:1,
690:1,16933:1,
440:1,9341:1,
392:1,15329:1,
1306:1,9285:1,
2347:1,14795:1,
2696:1,27491:1,
1234:1,34918:1,
4733:1,22086:1,
158:1,28295:1,
5915:1,22328:1,
329:1,10056:1,
3084:1,22890:1,
936:1,15713:1,
1927:1,22232:1,
719:1,20196:1,
138:1,18613:1,
4031:1,23011:1,
7525:1,34919:1,
120:1,15201:1,
8:1,20684:1,
379:1,30561:1,
559:1,12161:1,
1210:1,15293:1,
5801:1,9788:1,
834:1,16006:1,
6455:1,8900:1,
368:1,15089:1,
11:1,10967:1,
19:1,15487:1,
4647:1,17784:1,
1679:1,9349:1,
913:1,8613:1,
1938:1,21881:1,
4155:1,11260:1,
16:1,11680:1,
803:1,14203:1,
946:1,22895:1,
969:1,16643:1,
176:1,11833:1,
243:1,19513:1,
554:1,11983:1,
1132:1,10279:1,
407:1,15903:1,
74:1,10828:1,
1923:1,33611:1,
4318:1,11880:1,
4923:1,20955:1,
4316:1,14865:1,
870:1,16772:1,
5863:1,8784:1,
804:1,21189:1,
785:1,18014:1,
357:1,13556:1,
3319:1,16955:1,
309:1,25558:1,
502:1,10560:1,
477:1,18461:1,
834:1,11247:1,
172:1,25004:1,
2872:1,17479:1,
608:1,11149:1,
1925:1,34920:1,
831:1,8036:1,
1825:1,15584:1,
557:1,22321:1,
3401:1,10344:1,
3410:1,24372:1,
2372:1,16843:1,
51:1,8050:1,
508:1,11318:1,
330:1,13346:1,
391:1,12708:1,
881:1,13109:1,
780:1,9490:1,
4182:1,21431:1,
294:1,11745:1,
19:1,19957:1,
689:1,18435:1,
1279:1,11216:1,
727:1,9370:1,
991:1,13220:1,
1089:1,23472:1,
81:1,21773:1,
2828:1,14039:1,
1530:1,14708:1,
1486:1,9305:1,
788:1,16235:1,
1304:1,12314:1,
2057:1,10113:1,
1242:1,14856:1,
3342:1,10445:1,
794:1,12366:1,
840:1,17131:1,
3341:1,13228:1,
69:1,16984:1,
51:1,13190:1,
209:1,19257:1,
748:1,21642:1,
389:1,30160:1,
149:1,8459:1,
625:1,10179:1,
102:1,27064:1,
56:1,13346:1,
1087:1,17201:1,
1405:1,18621:1,
3194:1,8562:1,
3034:1,26664:1,
3976:1,11566:1,
4455:1,21346:1,
4693:1,14339:1,
1836:1,13369:1,
4072:1,18450:1,
4806:1,16915:1,
1343:1,15610:1,
1774:1,18490:1,
1803:1,14793:1,
348:1,8716:1,
1365:1,26862:1,
83:1,13478:1,
6811:1,20782:1,
506:1,15929:1,
1050:1,21691:1,
2596:1,15683:1,
7663:1,17469:1,
593:1,8167:1,
3712:1,15951:1,
4370:1,13798:1,
1201:1,14932:1,
296:1,9039:1,
3849:1,10001:1,
6119:1,9730:1,
1987:1,11468:1,
48:1,10442:1,
2839:1,12548:1,
1997:1,7979:1,
560:1,18135:1,
3426:1,24392:1,
1559:1,8415:1,
821:1,8124:1,
4451:1,15546:1,
5152:1,10424:1,
482:1,10707:1,
1904:1,22288:1,
1955:1,10500:1,
1009:1,21440:1,
4745:1,9256:1,
2026:1,17095:1,
1352:1,15603:1,
2903:1,25196:1,
1703:1,9413:1,
5073:1,11729:1,
376:1,9933:1,
5160:1,14673:1,
3370:1,10455:1,
41:1,14046:1,
2095:1,12012:1,
2113:1,11257:1,
5051:1,10174:1,
1185:1,10156:1,
1637:1,21117:1,
3022:1,9617:1,
1068:1,11304:1,
5208:1,20520:1,
3941:1,9820:1,
731:1,20657:1,
6102:1,13009:1,
550:1,18887:1,
344:1,34921:1,
2682:1,14166:1,
2820:1,12163:1,
2413:1,8277:1,
805:1,34922:1,
161:1,10132:1,
3767:1,17883:1,
4405:1,10983:1,
555:1,16205:1,
870:1,15491:1,
4951:1,23447:1,
41:1,12294:1,
1079:1,17536:1,
1016:1,11469:1,
81:1,9869:1,
164:1,25036:1,
1538:1,10837:1,
44:1,13704:1,
1591:1,9404:1,
192:1,23700:1,
5512:1,7819:1,
52:1,12788:1,
3494:1,12206:1,
1304:1,19810:1,
373:1,14323:1,
1539:1,11018:1,
1473:1,13639:1,
3867:1,9931:1,
7709:1,14116:1,
1137:1,8511:1,
2060:1,17099:1,
71:1,10098:1,
4085:1,12901:1,
3045:1,12694:1,
1860:1,30267:1,
1087:1,16249:1,
3627:1,34923:1,
936:1,29872:1,
831:1,9219:1,
19:1,18950:1,
461:1,9152:1,
6207:1,8856:1,
5158:1,26440:1,
668:1,7999:1,
3232:1,13776:1,
248:1,14105:1,
4652:1,9252:1,
4204:1,9650:1,
834:1,9955:1,
1033:1,23093:1,
2273:1,12915:1,
5207:1,13260:1,
875:1,13808:1,
2845:1,15468:1,
4366:1,23029:1,
268:1,21786:1,
517:1,10442:1,
4982:1,7968:1,
3:1,18116:1,
29:1,11507:1,
1725:1,9386:1,
292:1,7925:1,
86:1,21105:1,
623:1,14162:1,
2349:1,20132:1,
8:1,18415:1,
952:1,10510:1,
668:1,11133:1,
319:1,15038:1,
3761:1,28925:1,
439:1,23749:1,
4713:1,8305:1,
5819:1,8498:1,
790:1,18822:1,
4593:1,13531:1,
963:1,10754:1,
783:1,12710:1,
288:1,11923:1,
3701:1,13240:1,
2671:1,26809:1,
80:1,10403:1,
469:1,19828:1,
1729:1,8759:1,
19:1,18525:1,
1358:1,10407:1,
982:1,12198:1,
288:1,9147:1,
799:1,14203:1,
5978:1,14425:1,
965:1,34924:1,
175:1,34925:1,
5605:1,8982:1,
146:1,20397:1,
1468:1,17837:1,
849:1,12605:1,
1991:1,15923:1,
4699:1,14991:1,
1535:1,26047:1,
2236:1,14967:1,
716:1,9371:1,
6691:1,33236:1,
969:1,19937:1,
3188:1,15827:1,
4143:1,9044:1,
225:1,17696:1,
3712:1,10590:1,
1306:1,23225:1,
3579:1,11625:1,
5056:1,17693:1,
184:1,10754:1,
3858:1,10689:1,
3949:1,24646:1,
4349:1,9614:1,
1031:1,8297:1,
475:1,10648:1,
733:1,8324:1,
71:1,9349:1,
4673:1,12302:1,
2303:1,11655:1,
6243:1,22189:1,
3312:1,31215:1,
2609:1,9187:1,
558:1,13630:1,
294:1,8712:1,
6231:1,21046:1,
35:1,34926:1,
300:1,8493:1,
819:1,13869:1,
1980:1,14817:1,
258:1,8175:1,
5019:1,34927:1,
2511:1,19709:1,
1664:1,15504:1,
1585:1,24019:1,
3789:1,13527:1,
115:1,12416:1,
8:1,8666:1,
4712:1,14153:1,
1811:1,15957:1,
1873:1,9217:1,
1212:1,15791:1,
51:1,9404:1,
2756:1,7975:1,
3741:1,26270:1,
2042:1,15871:1,
1723:1,13940:1,
3680:1,16207:1,
190:1,11738:1,
525:1,16535:1,
3472:1,16955:1,
2230:1,14753:1,
294:1,26493:1,
5947:1,8374:1,
590:1,11668:1,
126:1,8650:1,
101:1,11745:1,
649:1,10049:1,
832:1,9239:1,
3178:1,9490:1,
53:1,13782:1,
371:1,16662:1,
242:1,9800:1,
1702:1,15793:1,
7297:1,24980:1,
697:1,14656:1,
681:1,16477:1,
4303:1,21194:1,
1237:1,8850:1,
3870:1,25100:1,
845:1,8971:1,
5356:1,27362:1,
3103:1,14714:1,
5733:1,26498:1,
689:1,18626:1,
991:1,22677:1,
1639:1,23483:1,
1738:1,12541:1,
1036:1,9777:1,
4264:1,11685:1,
469:1,16205:1,
5912:1,22595:1,
3232:1,14978:1,
448:1,15586:1,
1360:1,14337:1,
13:1,9075:1,
535:1,14237:1,
696:1,14366:1,
2928:1,11097:1,
4615:1,8849:1,
287:1,7797:1,
683:1,8547:1,
1910:1,13569:1,
2438:1,8151:1,
1317:1,8044:1,
1858:1,21290:1,
315:1,11988:1,
222:1,8666:1,
1264:1,8013:1,
1307:1,11170:1,
1141:1,16259:1,
543:1,9843:1,
373:1,11327:1,
2042:1,22474:1,
665:1,9285:1,
124:1,13175:1,
711:1,12668:1,
157:1,10401:1,
757:1,9132:1,
680:1,15465:1,
1307:1,17248:1,
196:1,8347:1,
2021:1,33967:1,
7125:1,12252:1,
1752:1,9456:1,
1146:1,13144:1,
3303:1,15887:1,
1388:1,17018:1,
196:1,8375:1,
873:1,12169:1,
4025:1,23777:1,
3721:1,12089:1,
1811:1,13511:1,
4126:1,13494:1,
5674:1,22489:1,
516:1,22178:1,
2559:1,16333:1,
1264:1,9258:1,
955:1,8767:1,
2143:1,34928:1,
4271:1,29231:1,
5201:1,13795:1,
1362:1,20805:1,
3354:1,14046:1,
1954:1,14274:1,
4218:1,11122:1,
625:1,8408:1,
354:1,8678:1,
5756:1,15833:1,
4876:1,9217:1,
348:1,18945:1,
1788:1,10398:1,
2831:1,9778:1,
1103:1,12435:1,
3996:1,21167:1,
6106:1,10542:1,
2620:1,13901:1,
3309:1,9873:1,
1000:1,14309:1,
4493:1,28104:1,
1204:1,18412:1,
2818:1,14891:1,
1857:1,13241:1,
4030:1,13449:1,
166:1,11261:1,
930:1,12370:1,
6166:1,10069:1,
1355:1,21079:1,
3290:1,34929:1,
3694:1,13736:1,
2287:1,16931:1,
3124:1,26799:1,
969:1,13140:1,
218:1,13408:1,
2823:1,34930:1,
5338:1,29198:1,
114:1,8370:1,
345:1,23273:1,
161:1,34931:1,
3940:1,11447:1,
1769:1,21906:1,
1553:1,14501:1,
625:1,9204:1,
305:1,16194:1,
797:1,13384:1,
546:1,9026:1,
560:1,19150:1,
350:1,22780:1,
1037:1,12209:1,
190:1,18976:1,
5025:1,13444:1,
5012:1,34932:1,
4691:1,25999:1,
2168:1,13348:1,
953:1,10046:1,
1000:1,10241:1,
7347:1,14462:1,
269:1,32477:1,
2781:1,16283:1,
373:1,8433:1,
3903:1,10929:1,
121:1,24291:1,
1165:1,10008:1,
506:1,9356:1,
1569:1,15893:1,
88:1,8697:1,
90:1,25816:1,
255:1,30567:1,
2158:1,8456:1,
3385:1,18068:1,
3438:1,22800:1,
48:1,11439:1,
427:1,17522:1,
4303:1,13218:1,
745:1,21402:1,
1147:1,34933:1,
1355:1,7947:1,
2763:1,34934:1,
969:1,13582:1,
1010:1,8299:1,
3380:1,9796:1,
4983:1,8729:1,
6837:1,24179:1,
5582:1,23256:1,
2731:1,9783:1,
4112:1,34935:1,
196:1,9864:1,
3155:1,7854:1,
2820:1,13403:1,
1988:1,18354:1,
1968:1,34936:1,
280:1,24675:1,
543:1,12750:1,
3345:1,31348:1,
3642:1,18894:1,
834:1,10641:1,
274:1,10607:1,
434:1,20928:1,
2818:1,10576:1,
153:1,34937:1,
2700:1,18459:1,
127:1,30432:1,
3772:1,10960:1,
137:1,16109:1,
985:1,16103:1,
791:1,11808:1,
3594:1,21986:1,
561:1,8756:1,
2091:1,26210:1,
5903:1,23717:1,
2230:1,15098:1,
238:1,34651:1,
3637:1,10426:1,
3607:1,20732:1,
1264:1,9690:1,
2781:1,10232:1,
3249:1,11472:1,
305:1,10022:1,
3499:1,10607:1,
3178:1,10859:1,
5741:1,10135:1,
656:1,13259:1,
3790:1,12657:1,
1251:1,18810:1,
1623:1,19352:1,
2034:1,11316:1,
3022:1,18565:1,
154:1,17740:1,
2435:1,8043:1,
575:1,18468:1,
2336:1,17383:1,
4540:1,25594:1,
4000:1,17493:1,
828:1,14345:1,
149:1,8303:1,
866:1,18851:1,
176:1,29018:1,
947:1,11378:1,
2698:1,9232:1,
2972:1,7790:1,
2021:1,11065:1,
3:1,18637:1,
1574:1,11783:1,
4989:1,12146:1,
164:1,20539:1,
1351:1,23365:1,
407:1,9058:1,
2123:1,12004:1,
282:1,19030:1,
1223:1,26638:1,
725:1,9675:1,
326:1,34938:1,
227:1,28947:1,
470:1,8121:1,
103:1,28493:1,
4052:1,18278:1,
1042:1,34939:1,
1262:1,13011:1,
5836:1,17614:1,
5437:1,25804:1,
439:1,11572:1,
4340:1,10507:1,
4128:1,9266:1,
991:1,9482:1,
2991:1,20177:1,
193:1,8946:1,
6708:1,8306:1,
53:1,20627:1,
822:1,15407:1,
649:1,11432:1,
1755:1,24700:1,
4317:1,19027:1,
6091:1,21308:1,
1829:1,9593:1,
1047:1,26220:1,
3696:1,21053:1,
2054:1,18865:1,
176:1,8261:1,
294:1,7962:1,
2994:1,24252:1,
4671:1,9393:1,
820:1,8311:1,
5932:1,30790:1,
6745:1,9146:1,
6165:1,8105:1,
80:1,8697:1,
88:1,9677:1,
2451:1,33166:1,
1471:1,17538:1,
2154:1,9555:1,
63:1,14282:1,
141:1,9979:1,
1658:1,8316:1,
2129:1,9207:1,
409:1,11249:1,
454:1,13338:1,
38:1,27074:1,
1066:1,10614:1,
1504:1,7896:1,
4107:1,9614:1,
212:1,11632:1,
519:1,18855:1,
5794:1,20808:1,
290:1,7806:1,
56:1,23239:1,
2931:1,33006:1,
546:1,19813:1,
5632:1,13862:1,
6745:1,12001:1,
6035:1,8144:1,
6104:1,12637:1,
985:1,7911:1,
1451:1,14888:1,
3851:1,10136:1,
19:1,11192:1,
3440:1,11386:1,
64:1,12041:1,
555:1,12777:1,
2032:1,14993:1,
1964:1,12555:1,
3186:1,11255:1,
567:1,26008:1,
349:1,11544:1,
50:1,14927:1,
3678:1,22159:1,
1592:1,8287:1,
154:1,20961:1,
1614:1,16365:1,
580:1,9626:1,
4162:1,10503:1,
455:1,34626:1,
3178:1,26238:1,
1900:1,9870:1,
161:1,11858:1,
702:1,10804:1,
2469:1,14489:1,
46:1,12324:1,
3966:1,12851:1,
769:1,16879:1,
3268:1,31996:1,
553:1,16877:1,
1703:1,9239:1,
371:1,25207:1,
2101:1,10929:1,
5314:1,8459:1,
508:1,10545:1,
2156:1,28239:1,
2916:1,16483:1,
2024:1,18785:1,
1742:1,9130:1,
3846:1,8015:1,
1387:1,12343:1,
1825:1,12714:1,
295:1,13743:1,
834:1,22371:1,
985:1,17717:1,
227:1,12006:1,
1281:1,11032:1,
5644:1,11861:1,
1168:1,13220:1,
5878:1,16065:1,
330:1,21593:1,
1848:1,22218:1,
748:1,17322:1,
190:1,17594:1,
65:1,22398:1,
1268:1,7952:1,
1848:1,8544:1,
952:1,12506:1,
4030:1,11268:1,
5065:1,20855:1,
1838:1,12088:1,
1042:1,11679:1,
1774:1,12461:1,
2281:1,22958:1,
2987:1,7908:1,
130:1,14240:1,
2719:1,7853:1,
1383:1,8245:1,
517:1,10254:1,
2414:1,17418:1,
3802:1,10417:1,
1217:1,12687:1,
3751:1,10313:1,
2881:1,19692:1,
2935:1,8404:1,
1248:1,23706:1,
5602:1,9202:1,
29:1,16330:1,
3224:1,31738:1,
464:1,10639:1,
5815:1,34940:1,
3541:1,7982:1,
1892:1,18230:1,
4646:1,24995:1,
2475:1,10687:1,
3723:1,15681:1,
4944:1,12420:1,
6049:1,12057:1,
263:1,16508:1,
192:1,14572:1,
504:1,11544:1,
1228:1,12823:1,
567:1,15828:1,
474:1,13890:1,
86:1,9897:1,
921:1,9832:1,
2356:1,34656:1,
1978:1,30265:1,
228:1,11572:1,
5315:1,16866:1,
3976:1,14291:1,
5520:1,12016:1,
1628:1,23328:1,
909:1,12831:1,
985:1,12266:1,
4308:1,15639:1,
1734:1,34180:1,
2311:1,24070:1,
5011:1,19191:1,
2055:1,14045:1,
5415:1,11270:1,
4542:1,13804:1,
4323:1,21332:1,
321:1,8775:1,
2158:1,16628:1,
1626:1,8161:1,
1950:1,8754:1,
2737:1,14007:1,
1132:1,21419:1,
294:1,10529:1,
629:1,21647:1,
535:1,19554:1,
50:1,34600:1,
775:1,15093:1,
5461:1,11475:1,
315:1,10267:1,
275:1,33752:1,
90:1,18512:1,
917:1,13206:1,
6321:1,12207:1,
2484:1,9018:1,
2282:1,21972:1,
1220:1,19957:1,
4038:1,34941:1,
3131:1,11722:1,
4074:1,11979:1,
2736:1,13460:1,
2542:1,34942:1,
6959:1,10813:1,
177:1,9005:1,
69:1,13487:1,
1824:1,16192:1,
2692:1,9977:1,
2363:1,34943:1,
458:1,20002:1,
272:1,8992:1,
298:1,8891:1,
3538:1,10461:1,
214:1,20174:1,
109:1,20110:1,
4994:1,10754:1,
19:1,9084:1,
2100:1,31715:1,
4127:1,7918:1,
325:1,11620:1,
884:1,8635:1,
1995:1,11914:1,
2910:1,21648:1,
770:1,9978:1,
2989:1,8870:1,
2538:1,17910:1,
39:1,8756:1,
2037:1,19082:1,
1845:1,9325:1,
2860:1,12201:1,
1347:1,17442:1,
88:1,9469:1,
68:1,12935:1,
217:1,12987:1,
386:1,19619:1,
508:1,11988:1,
1486:1,10664:1,
8:1,13012:1,
2048:1,21429:1,
192:1,8091:1,
4293:1,9769:1,
699:1,23957:1,
3371:1,10588:1,
310:1,16204:1,
988:1,34082:1,
519:1,14455:1,
732:1,11352:1,
2232:1,16198:1,
19:1,14301:1,
4119:1,20283:1,
1197:1,24090:1,
5203:1,19884:1,
1372:1,8242:1,
400:1,8297:1,
5098:1,7851:1,
492:1,34944:1,
1141:1,19013:1,
3786:1,28116:1,
1197:1,18094:1,
1308:1,16740:1,
319:1,24556:1,
1135:1,13774:1,
6675:1,16089:1,
1083:1,9219:1,
4556:1,26156:1,
4380:1,29942:1,
2459:1,8678:1,
1137:1,10656:1,
4666:1,18170:1,
590:1,14257:1,
621:1,15973:1,
757:1,8682:1,
493:1,13556:1,
48:1,10062:1,
1462:1,21117:1,
417:1,15896:1,
1340:1,25716:1,
1031:1,19839:1,
1332:1,11304:1,
5330:1,18213:1,
20:1,11739:1,
2398:1,34945:1,
548:1,21047:1,
36:1,13280:1,
3232:1,12111:1,
205:1,8701:1,
794:1,13511:1,
46:1,9156:1,
2212:1,15269:1,
90:1,34946:1,
2624:1,9436:1,
1217:1,12631:1,
62:1,20845:1,
456:1,19077:1,
866:1,10124:1,
287:1,34947:1,
118:1,8270:1,
745:1,11810:1,
4862:1,23110:1,
7710:1,24854:1,
676:1,11691:1,
2373:1,11724:1,
647:1,8517:1,
4749:1,11180:1,
783:1,13316:1,
792:1,18673:1,
1505:1,11302:1,
348:1,13581:1,
294:1,14479:1,
314:1,13511:1,
1032:1,7866:1,
3037:1,13467:1,
254:1,9511:1,
3112:1,12357:1,
6123:1,8228:1,
52:1,8695:1,
407:1,12488:1,
3217:1,17809:1,
17:1,9581:1,
543:1,15520:1,
508:1,12900:1,
1056:1,11928:1,
441:1,14240:1,
2341:1,7992:1,
251:1,9655:1,
1156:1,13535:1,
590:1,13962:1,
4565:1,9405:1,
3684:1,8555:1,
2129:1,8853:1,
410:1,11449:1,
1482:1,13460:1,
8:1,22357:1,
4829:1,8373:1,
103:1,20767:1,
3924:1,10029:1,
4306:1,10139:1,
2373:1,11999:1,
206:1,10826:1,
455:1,12270:1,
4559:1,8150:1,
820:1,9660:1,
372:1,17530:1,
64:1,20123:1,
1241:1,10706:1,
2651:1,23940:1,
451:1,19133:1,
1611:1,18564:1,
364:1,7949:1,
3400:1,22729:1,
243:1,9052:1,
1002:1,15212:1,
19:1,8876:1,
919:1,13484:1,
4650:1,15537:1,
27:1,15398:1,
48:1,9801:1,
1992:1,21890:1,
2635:1,17484:1,
2076:1,14291:1,
34:1,13198:1,
448:1,20737:1,
1595:1,14313:1,
727:1,26811:1,
941:1,13555:1,
1850:1,18609:1,
693:1,28768:1,
13:1,26661:1,
1805:1,9821:1,
5241:1,9470:1,
2987:1,8868:1,
6723:1,13911:1,
1046:1,24690:1,
1959:1,8634:1,
213:1,17870:1,
3125:1,22360:1,
7124:1,10333:1,
861:1,26308:1,
924:1,11609:1,
